Disease,Diet
Fungal infection,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']"
Allergy,"['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']"
GERD,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']"
Chronic cholestasis,"['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']"
Drug Reaction,"['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']"
Peptic ulcer disease,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']"
AIDS,"['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']"
Diabetes,"['Low-Glycemic Diet', 'Fiber-rich foods', 'Lean proteins', 'Healthy fats', 'Low-fat dairy']"
Gastroenteritis,"['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']"
Bronchial Asthma,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']"
Hypertension,"['DASH Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']"
Migraine,"['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']"
Cervical spondylosis,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']"
Paralysis (brain hemorrhage),"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']"
Jaundice,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']"
Malaria,"['Malaria Diet', 'Hydration', 'High-Calorie Diet', 'Protein-rich foods', 'Vitamin C']"
Chicken pox,"['Bland Diet', 'Hydration', 'Soft foods', 'Vitamin C', 'Rest']"
Dengue,"['Hydration', 'High-Calorie Diet', 'Soft foods', 'Protein-rich foods', 'Vitamin C']"
Typhoid,"['Bland Diet', 'Hydration', 'High-Calorie Diet', 'Protein-rich foods', 'Vitamin C']"
hepatitis A,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']"
Hepatitis B,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']"
Hepatitis C,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']"
Hepatitis D,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']"
Hepatitis E,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']"
Alcoholic hepatitis,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']"
Tuberculosis,"['High-Calorie Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']"
Common Cold,"['Hydration', 'Warm fluids', 'Rest', 'Honey and lemon tea', 'Vitamin C']"
Pneumonia,"['High-protein diet', 'Hydration', 'Soft foods', 'Vitamin C', 'Zinc-rich foods']"
Dimorphic hemmorhoids(piles),"['High-fiber diet', 'Hydration', 'Prune juice', 'Avoid spicy foods', 'Lean proteins']"
Heart attack,"['Low-sodium diet', 'Omega-3', 'Fruits', 'Vegetables', 'Whole grains']"
Varicose veins,"['High-fiber diet', 'Hydration', 'Antioxidants', 'Avoid salt', 'Legumes']"
Hypothyroidism,"['Iodine-rich diet', 'Selenium', 'Fruits', 'Vegetables', 'Whole grains']"
Hyperthyroidism,"['Low-iodine diet', 'Calcium', 'Cruciferous vegetables', 'Avoid soy', 'Fruits']"
Hypoglycemia,"['Complex carbs', 'Protein snacks', 'Frequent meals', 'Avoid sugar spikes', 'Healthy fats']"
Osteoarthristis,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']"
Arthritis,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']"
(vertigo) Paroymsal Positional Vertigo,"['Low-salt diet', 'Hydration', 'Ginger tea', 'Vitamin D', 'Magnesium']"
Acne,"['Acne Diet', 'Low-Glycemic Diet', 'Hydration', 'Fruits and vegetables', 'Probiotics']"
Urinary tract infection,"['UTI Diet', 'Hydration', 'Cranberry juice', 'Probiotics', 'Vitamin C-rich foods']"
Psoriasis,"['Psoriasis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']"
Impetigo,"['Impetigo Diet', 'Antibiotic treatment', 'Fruits and vegetables', 'Hydration', 'Protein-rich foods']"
