Disease,Medication
Fungal infection,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']"
Allergy,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']"
GERD,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']"
Chronic cholestasis,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']"
Drug Reaction,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']"
Peptic ulcer disease,"['Antibiotics', 'Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Cytoprotective agents']"
AIDS,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']"
Diabetes,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']"
Gastroenteritis,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']"
Bronchial Asthma,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']"
Hypertension,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']"
Migraine,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']"
Cervical spondylosis,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']"
Paralysis (brain hemorrhage),"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']"
Jaundice,"['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antibiotics']"
Malaria,"['Antimalarial drugs', 'Chloroquine', 'Artemisinin', 'Quinine', 'Primaquine']"
Chicken pox,"['Antiviral drugs', 'Calamine lotion', 'Pain relievers', 'Antihistamines', 'Rest']"
Dengue,"['IV fluids', 'Pain relievers', 'Antipyretics', 'Rest', 'Hydration support']"
Typhoid,"['Antibiotics', 'Ciprofloxacin', 'Azithromycin', 'Ceftriaxone', 'Hydration therapy']"
hepatitis A,"['Supportive care', 'Rest', 'Hydration', 'Antiemetics', 'Vaccination']"
Hepatitis B,"['Antiviral drugs', 'Interferon', 'Lamivudine', 'Tenofovir', 'Vaccination']"
Hepatitis C,"['Antiviral drugs', 'Sofosbuvir', 'Ribavirin', 'Daclatasvir', 'Monitoring']"
Hepatitis D,"['Antiviral drugs', 'Interferon', 'Tenofovir', 'Monitoring', 'Supportive care']"
Hepatitis E,"['Supportive care', 'Rest', 'Hydration', 'Antiemetics', 'Monitoring']"
Alcoholic hepatitis,"['Corticosteroids', 'Pentoxifylline', 'Liver support', 'Abstinence', 'Nutrition']"
Tuberculosis,"['Isoniazid', 'Rifampicin', 'Ethambutol', 'Pyrazinamide', 'Streptomycin']"
Common Cold,"['Decongestants', 'Antihistamines', 'Pain relievers', 'Rest', 'Hydration']"
Pneumonia,"['Antibiotics', 'Antipyretics', 'Bronchodilators', 'Oxygen therapy', 'Corticosteroids']"
Dimorphic hemmorhoids(piles),"['Topical treatments', 'Pain relievers', 'Stool softeners', 'Surgery', 'High-fiber diet support']"
Heart attack,"['Aspirin', 'Nitroglycerin', 'Beta-blockers', 'Thrombolytics', 'PCI']"
Varicose veins,"['Compression therapy', 'Sclerotherapy', 'Exercise', 'Elevate legs', 'Surgery']"
Hypothyroidism,"['Levothyroxine', 'Iodine supplements', 'Monitor TSH', 'Diet adjustment', 'Consult endocrinologist']"
Hyperthyroidism,"['Methimazole', 'Propylthiouracil', 'Radioactive iodine', 'Beta-blockers', 'Surgery']"
Hypoglycemia,"['Glucose tablets', 'Juice', 'Glucagon', 'Frequent meals', 'Monitor glucose']"
Osteoarthristis,"['Pain relievers', 'Exercise', 'Hot and cold packs', 'Joint protection', 'Physical therapy']"
Arthritis,"['NSAIDs', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint replacement surgery']"
(vertigo) Paroymsal Positional Vertigo,"['Vestibular suppressants', 'Antihistamines', 'Canalith repositioning', 'Hydration', 'Physical therapy']"
Acne,"['Topical treatments', 'Antibiotics', 'Oral medications', 'Hormonal treatments', 'Isotretinoin']"
Urinary tract infection,"['Antibiotics', 'Urinary analgesics', 'Phenazopyridine', 'Antispasmodics', 'Probiotics']"
Psoriasis,"['Topical treatments', 'Phototherapy', 'Systemic medications', 'Biologics', 'Coal tar']"
Impetigo,"['Topical antibiotics', 'Oral antibiotics', 'Antiseptics', 'Ointments', 'Warm compresses']"
